review_id,review_text
1,"Amazing product!!! Works like a charm 😍"
2,"didn't like it... battery died in 2 days"
3,"Good quality, packaging was nice"
4,"Terrible!! Broke after first use"
5,"It's okay... not great, not bad"
6,"🔥🔥 Best deal ever! Fast shipping, product exactly as described"
7,"Camera quality is decent, but low light pics are grainy"
8,"Product came with scratches. feels used. disappointed"
9,"Loved it! Perfect gift for my brother. He is super happy 😊"
10,"Fake product. Don’t buy. Amazon should ban this seller"
